genus,mu,nu,rho,crossing_edges,best_max_mid
6.0,SU2 x SU2 x 2.USp4,SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,3,0.08050704
4.0,2.USp4,SU2 x SU2 x SU2 x SU2,2.SU2 x USp4,2,0.09066060
5.0,SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x SU2,SU2 x 2.SU2 x USp4,2,0.09066060
6.0,USp4 x 2.USp4,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp4 x USp4,2,0.09066060
6.0,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp4 x USp4,SU2 x 2.SU2 x USp6,2,0.09066060
6.0,SU2 x SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,SU2 x SU2 x 2.SU2 x USp4,2,0.09066060
6.0,2.SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,2.SU2 x 2.SU2 x USp4,2,0.09066060
6.0,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x 2.SU2 x USp6,3,0.11002471
6.0,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,3,0.11684005
6.0,USp4 x 2.USp4,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x 2.SU2 x USp6,2,0.12271284
6.0,SU2 x SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.SU2 x USp6,2,0.12271284
6.0,2.SU2 x 2.SU2 x 2.SU2,SU2 x 2.SU2 x 3.SU2,USp4 x 4.SU2,2,0.13231042
6.0,3.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x SU2 x 3.SU2,2,0.14423834
6.0,2.SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x USp4 x 3.SU2,2,0.16485415
6.0,2.SU2 x 2.USp4,2.SU2 x 2.SU2 x USp4,SU2 x USp4 x 3.SU2,2,0.16485415
6.0,USp4 x USp4 x USp4,SU2 x USp4 x USp6,2.SU2 x USp8,2,0.16963999
6.0,2.USp6,2.SU2 x USp4 x USp4,SU2 x 2.SU2 x USp6,2,0.16963999
6.0,USp4 x 2.USp4,2.SU2 x USp4 x USp4,SU2 x 2.SU2 x USp6,2,0.16963999
6.0,SU2 x SU2 x SU2 x SU2 x 2.SU2,2.SU2 x 2.SU2 x USp4,SU2 x USp4 x 3.SU2,2,0.17048102
6.0,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp4 x USp4,3,0.18364094
6.0,USp4 x USp4 x USp4,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,2,0.19699097
6.0,SU2 x SU2 x USp4 x USp4,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,2,0.19699097
6.0,2.SU2 x 2.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x USp4 x 3.SU2,2,0.20193536
6.0,3.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x USp4 x 3.SU2,3,0.20193536
6.0,USp4 x 2.USp4,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.SU2 x USp6,2,0.20640578
6.0,2.USp6,USp4 x 2.USp4,SU2 x 2.SU2 x USp6,2,0.21401223
6.0,SU2 x USp4 x USp6,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,2,0.23275888
6.0,2.USp6,SU2 x SU2 x USp4 x USp4,SU2 x 2.SU2 x USp6,2,0.23719291
6.0,2.SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x SU2 x 3.SU2,USp4 x 4.SU2,2,0.26585890
6.0,2.SU2 x 2.USp4,3.USp4,SU2 x USp4 x 3.SU2,2,0.26598888
6.0,3.USp4,SU2 x USp4 x 3.SU2,SU2 x SU2 x SU2 x 3.SU2,2,0.26598888
6.0,2.USp6,USp4 x 2.USp4,2.SU2 x USp4 x USp4,2,0.27006458
5.0,SU2 x SU2 x SU2 x 2.SU2,SU2 x 2.SU2 x 2.SU2,USp4 x 3.SU2,2,0.27375919
6.0,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.USp4,SU2 x USp4 x 3.SU2,2,0.27375919
6.0,SU2 x SU2 x SU2 x SU2 x 2.SU2,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x USp4 x 3.SU2,2,0.27375919
6.0,USp4 x 2.USp4,SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.28676547
6.0,SU2 x SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.28676547
6.0,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.29139540
6.0,SU2 x SU2 x 2.SU2 x USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.29139540
6.0,2.SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.29139540
6.0,SU2 x SU2 x SU2 x SU2 x 2.SU2,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,3,0.29139540
6.0,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,SU2 x USp4 x 3.SU2,2,0.29139540
6.0,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,2.SU2 x USp4 x USp4,3.SU2 x USp6,2,0.31503287
5.0,SU2 x USp4 x USp4,SU2 x SU2 x SU2 x USp4,2.SU2 x USp6,2,0.31895913
6.0,SU2 x SU2 x USp4 x USp4,USp4 x 2.USp4,SU2 x 2.SU2 x USp6,2,0.31895913
6.0,SU2 x SU2 x USp4 x USp4,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x 2.SU2 x USp6,2,0.31895913
6.0,3.USp4,2.SU2 x 2.SU2 x 2.SU2,USp4 x 4.SU2,2,0.31944030
6.0,USp4 x USp4 x USp4,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,2,0.31955273
6.0,USp4 x 2.USp4,SU2 x SU2 x 2.USp4,3.SU2 x USp6,2,0.31955273
6.0,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.SU2 x USp6,2,0.31955273
6.0,2.SU2 x USp4 x USp4,SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.31955273
6.0,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.36170681
6.0,SU2 x SU2 x 2.USp4,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.36170681
6.0,SU2 x SU2 x 2.SU2 x USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.36170681
6.0,SU2 x SU2 x 2.SU2 x 2.SU2,2.SU2 x 2.SU2 x 2.SU2,USp4 x 4.SU2,2,0.36170681
6.0,SU2 x SU2 x SU2 x 3.SU2,SU2 x 2.SU2 x 3.SU2,USp4 x 4.SU2,2,0.36170681
6.0,SU2 x SU2 x 2.USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.36352274
6.0,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.36352274
6.0,2.SU2 x 2.USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,3,0.36352274
6.0,SU2 x USp4 x USp6,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,2,0.37035289
6.0,2.USp6,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,2,0.37035289
6.0,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,SU2 x 2.SU2 x USp6,2,0.37035289
6.0,3.USp4,SU2 x SU2 x SU2 x 3.SU2,USp4 x 4.SU2,3,0.37626984
6.0,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x SU2 x SU2 x 3.SU2,USp4 x 4.SU2,2,0.37626984
6.0,2.USp6,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,2,0.40546022
6.0,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.41666444
6.0,SU2 x SU2 x 2.SU2 x USp4,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.41666444
6.0,2.SU2 x 2.USp4,3.USp4,3.SU2 x USp6,2,0.41666444
6.0,2.SU2 x 2.USp4,3.SU2 x USp6,SU2 x USp4 x 3.SU2,2,0.41666444
6.0,SU2 x SU2 x 2.USp4,2.SU2 x USp4 x USp4,3.SU2 x USp6,2,0.43756185
6.0,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x SU2 x 2.USp4,3.SU2 x USp6,2,0.44059166
6.0,3.USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.44402810
6.0,3.USp4,3.SU2 x USp6,SU2 x USp4 x 3.SU2,2,0.46531557
6.0,2.USp6,2.SU2 x USp4 x USp4,3.SU2 x USp6,3,0.46676871
6.0,USp4 x 2.USp4,2.SU2 x USp4 x USp4,3.SU2 x USp6,3,0.46676871
6.0,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp4 x USp4,3.SU2 x USp6,3,0.46676871
6.0,2.SU2 x USp4 x USp4,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.46676871
6.0,2.SU2 x USp4 x USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.46676871
6.0,2.SU2 x USp4 x USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.46676871
6.0,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.USp4,3.SU2 x USp6,2,0.46694671
6.0,2.USp6,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.SU2 x USp6,2,0.46854360
6.0,2.USp6,USp4 x 2.USp4,3.SU2 x USp6,2,0.47779647
6.0,USp4 x 2.USp4,SU2 x SU2 x SU2 x SU2 x USp4,3.SU2 x USp6,2,0.47779647
6.0,USp4 x 2.USp4,SU2 x 2.SU2 x USp6,3.SU2 x USp6,2,0.47779647
6.0,USp4 x 2.USp4,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.47779647
6.0,USp4 x 2.USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.47779647
6.0,USp4 x 2.USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.47779647
6.0,3.USp4,SU2 x 2.SU2 x 3.SU2,USp4 x 4.SU2,2,0.48611760
6.0,2.USp6,SU2 x 2.SU2 x USp6,3.SU2 x USp6,2,0.48926675
6.0,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x 2.SU2 x USp6,3.SU2 x USp6,2,0.48926675
6.0,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x 2.SU2 x 3.SU2,USp4 x 4.SU2,2,0.48926675
6.0,3.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,USp4 x 4.SU2,3,0.53645345
6.0,3.USp4,SU2 x USp4 x 3.SU2,USp4 x 4.SU2,2,0.53645345
6.0,USp4 x USp4 x USp4,2.USp6,2.SU2 x USp8,2,0.54169876
6.0,2.USp6,SU2 x SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.54537792
6.0,SU2 x SU2 x 2.SU2 x 2.SU2,SU2 x USp4 x 3.SU2,USp4 x 4.SU2,2,0.55112230
6.0,2.USp6,2.SU2 x USp8,SU2 x 2.SU2 x USp6,2,0.55301133
6.0,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,3.SU2 x USp6,3,0.57152339
6.0,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.57152339
6.0,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.57152339
6.0,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.57152339
6.0,2.USp6,SU2 x SU2 x 2.USp4,3.SU2 x USp6,2,0.57259918
6.0,SU2 x USp4 x USp6,2.USp6,2.SU2 x USp8,2,0.60979669
6.0,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp8,2,0.60979669
6.0,2.USp6,2.SU2 x USp8,2.SU2 x USp4 x USp4,2,0.60979669
6.0,3.USp4,SU2 x SU2 x 2.SU2 x 2.SU2,3.SU2 x USp6,2,0.72014949
6.0,SU2 x SU2 x 2.USp4,3.USp4,3.SU2 x USp6,2,0.72057376
6.0,2.USp6,2.SU2 x USp8,3.SU2 x USp6,2,0.74695042
6.0,2.USp6,2.SU2 x 2.USp4,3.SU2 x USp6,2,0.74695042
6.0,2.USp6,SU2 x SU2 x SU2 x SU2 x 2.SU2,3.SU2 x USp6,2,0.74695042
6.0,2.USp6,2.SU2 x 2.SU2 x USp4,3.SU2 x USp6,2,0.74695042
6.0,3.USp4,3.SU2 x USp6,SU2 x SU2 x SU2 x 3.SU2,2,0.77650607
6.0,SU2 x SU2 x 2.SU2 x USp4,3.USp4,3.SU2 x USp6,2,0.78355935
6.0,2.USp6,3.USp4,3.SU2 x USp6,2,0.80726947
6.0,USp4 x 2.USp4,3.USp4,3.SU2 x USp6,2,0.80726947
6.0,SU2 x SU2 x SU2 x SU2 x USp4,3.USp4,3.SU2 x USp6,2,0.80726947
6.0,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.USp4,3.SU2 x USp6,2,0.80726947
6.0,2.SU2 x USp4 x USp4,3.USp4,3.SU2 x USp6,2,0.80726947
6.0,3.USp4,3.SU2 x USp6,USp4 x 4.SU2,2,0.80726947
