genus,partitions,pairs,dominance_comparable,incomparable,crossing_pairs,cycles,closest_approach
1,1,0,0,0,0,0,inf
2,2,1,1,0,0,0,inf
3,3,3,3,0,0,0,0.465316
4,5,10,10,0,0,0,0.319553
5,7,21,21,0,0,0,0.319553
6,11,55,53,2,0,0,0.233224
7,15,105,101,4,2,0,0.16964
8,22,231,216,15,7,0,0.078999
9,30,435,400,35,17,0,0.078999
10,42,861,776,85,46,0,0.0504658
11,56,1540,1370,170,97,0,0.00219256
12,77,2926,2541,385,215,0,0.00219256
13,101,5050,4338,712,415,2,-0.00800018
14,135,9045,7640,1405,823,3,-0.00800018
15,176,15400,12817,2583,1526,6,-0.00800018

genus,lambda,mu,dm2,dt,mid,sign_changes
6,411,33,1.0,0.0,0.2963641297,0
6,3111,222,1.0,0.0,0.2332239775,0
7,511,43,1.0,2.0,0.2618541066,1
7,4111,331,1.0,0.0,0.2963641297,0
7,4111,322,1.0,2.0,0.1650962756,1
7,31111,2221,1.0,0.0,0.2332239775,0
8,611,53,1.0,4.0,0.1980674677,1
8,611,44,1.0,6.0,0.1163654324,1
8,521,44,1.0,-2.0,0.4461649867,0
8,5111,44,2.0,-4.0,0.7628170019,0
8,5111,431,1.0,2.0,0.2618541066,1
8,5111,422,1.0,4.0,0.0789990017,1
8,5111,332,1.0,6.0,-0.0350069516,1
8,4211,332,1.0,0.0,0.2963641297,0
8,41111,332,2.0,-2.0,0.6116884279,0
8,41111,3311,1.0,0.0,0.2963641297,0
8,41111,3221,1.0,2.0,0.1650962756,1
8,41111,2222,1.0,4.0,-0.0166184606,1
8,32111,2222,1.0,0.0,0.2332239775,0
8,311111,2222,2.0,-2.0,0.5358060914,0
8,311111,22211,1.0,0.0,0.2332239775,0
9,711,63,1.0,6.0,0.1393278729,1
9,711,54,1.0,10.0,-0.0134051055,1
9,621,54,1.0,0.0,0.4439739707,0
9,6111,54,2.0,-2.0,0.7612470390,0
9,6111,531,1.0,4.0,0.1980674677,1
9,6111,522,1.0,6.0,0.0080001812,1
9,6111,441,1.0,6.0,0.1163654324,1
9,6111,432,1.0,10.0,-0.1930277062,1
9,6111,333,1.0,12.0,-0.3080608680,1
9,522,441,0.0,0.0,0.1327698092,0
9,5211,441,1.0,-2.0,0.4461649867,0
9,5211,432,1.0,2.0,0.2618541066,1
9,5211,333,1.0,4.0,0.1589737464,1
9,51111,441,2.0,-4.0,0.7628170019,0
9,51111,432,2.0,0.0,0.6090890277,0
9,51111,4311,1.0,2.0,0.2618541066,1
9,51111,4221,1.0,4.0,0.0789990017,1
9,51111,333,2.0,2.0,0.5786865809,1
9,51111,3321,1.0,6.0,-0.0350069516,1
9,51111,3222,1.0,8.0,-0.2203687837,1
9,4311,333,1.0,0.0,0.2963641297,0
9,4221,333,1.0,-2.0,0.4088839742,0
9,42111,333,2.0,-4.0,0.7280546675,0
9,42111,3321,1.0,0.0,0.2963641297,0
9,42111,3222,1.0,2.0,0.1650962756,1
9,411111,333,3.0,-6.0,1.0474280674,0
9,411111,3321,2.0,-2.0,0.6116884279,0
9,411111,33111,1.0,0.0,0.2963641297,0
9,411111,3222,2.0,0.0,0.5236979344,0
9,411111,32211,1.0,2.0,0.1650962756,1
9,411111,22221,1.0,4.0,-0.0166184606,1
9,33111,3222,1.0,0.0,0.2332239775,0
9,321111,22221,1.0,0.0,0.2332239775,0
9,3111111,22221,2.0,-2.0,0.5358060914,0
9,3111111,222111,1.0,0.0,0.2332239775,0
10,811,73,1.0,8.0,0.0880982503,1
10,811,64,1.0,14.0,-0.1234124951,1
10,811,55,1.0,16.0,-0.1936251426,1
10,721,64,1.0,2.0,0.4365234693,1
10,721,55,1.0,4.0,0.3966581618,1
10,7111,64,2.0,0.0,0.7611066176,0
10,7111,631,1.0,6.0,0.1393278729,1
10,7111,622,1.0,8.0,-0.0504657607,1
10,7111,55,2.0,2.0,0.7579862252,1
10,7111,541,1.0,10.0,-0.0134051055,1
10,7111,532,1.0,14.0,-0.3198445664,1
10,7111,442,1.0,16.0,-0.4075030840,1
10,7111,433,1.0,18.0,-0.5208155568,1
10,631,55,1.0,-4.0,0.5376139324,0
10,622,55,1.0,-6.0,0.7037404315,0
10,622,541,0.0,2.0,0.0916900195,1
10,6211,55,2.0,-8.0,1.0011354270,0
10,6211,541,1.0,0.0,0.4439739707,0
10,6211,532,1.0,4.0,0.1980674677,1
10,6211,442,1.0,6.0,0.1163654324,1
10,6211,433,1.0,8.0,0.0021925552,1
10,61111,55,3.0,-10.0,1.3049629611,0
10,61111,541,2.0,-2.0,0.7612470390,0
10,61111,532,2.0,2.0,0.6012504958,1
10,61111,5311,1.0,4.0,0.1980674677,1
10,61111,5221,1.0,6.0,0.0080001812,1
10,61111,442,2.0,4.0,0.5548796153,1
10,61111,4411,1.0,6.0,0.1163654324,1
10,61111,433,2.0,6.0,0.4619444293,1
10,61111,4321,1.0,10.0,-0.1930277062,1
10,61111,4222,1.0,12.0,-0.3747323694,1
10,61111,3331,1.0,12.0,-0.3080608680,1
10,61111,3322,1.0,14.0,-0.4901502102,1
10,5311,442,1.0,0.0,0.3147991465,0
10,5311,433,1.0,2.0,0.2618541066,1
10,5221,442,1.0,-2.0,0.4461649867,0
10,5221,4411,0.0,0.0,0.1327698092,0
10,5221,433,1.0,0.0,0.4016925375,0
10,52111,442,2.0,-4.0,0.7628170019,0
10,52111,4411,1.0,-2.0,0.4461649867,0
10,52111,433,2.0,-2.0,0.7212452679,0
10,52111,4321,1.0,2.0,0.2618541066,1
10,52111,4222,1.0,4.0,0.0789990017,1
10,52111,3331,1.0,4.0,0.1589737464,1
10,52111,3322,1.0,6.0,-0.0350069516,1
10,511111,442,3.0,-6.0,1.0807668731,0
10,511111,4411,2.0,-4.0,0.7628170019,0
10,511111,433,3.0,-4.0,1.0407979984,0
10,511111,4321,2.0,0.0,0.6090890277,0
10,511111,43111,1.0,2.0,0.2618541066,1
10,511111,4222,2.0,2.0,0.5048778215,1
10,511111,42211,1.0,4.0,0.0789990017,1
10,511111,3331,2.0,2.0,0.5786865809,1
10,511111,3322,2.0,4.0,0.4226025237,1
10,511111,33211,1.0,6.0,-0.0350069516,1
10,511111,32221,1.0,8.0,-0.2203687837,1
10,511111,22222,1.0,10.0,-0.4002691761,1
10,4411,433,1.0,0.0,0.2963641297,0
10,43111,4222,1.0,0.0,0.2332239775,0
10,43111,3331,1.0,0.0,0.2963641297,0
10,43111,3322,1.0,2.0,0.1650962756,1
10,4222,3331,0.0,0.0,0.0903387488,0
10,42211,3331,1.0,-2.0,0.4088839742,0
10,42211,3322,1.0,0.0,0.2963641297,0
10,421111,3331,2.0,-4.0,0.7280546675,0
10,421111,3322,2.0,-2.0,0.6116884279,0
10,421111,33211,1.0,0.0,0.2963641297,0
