genus,mu,nu,rho,distinct_argmin,distinct_argmax,argmin_spread,argmax_spread
4,2.USp4,SU2 x SU2 x SU2 x SU2,2.SU2 x USp4,3,3,51730.896,15.311
5,SU2 x USp4 x USp4,SU2 x SU2 x SU2 x USp4,2.SU2 x USp6,3,3,145.797,63095.734
5,SU2 x 2.USp4,SU2 x SU2 x SU2 x SU2 x SU2,SU2 x 2.SU2 x USp4,3,3,51730.896,15.311
5,SU2 x SU2 x SU2 x 2.SU2,SU2 x 2.SU2 x 2.SU2,USp4 x 3.SU2,3,3,65.313,36307.805
6,USp4 x USp4 x USp4,SU2 x USp4 x USp6,2.SU2 x USp8,3,3,94678.202,13.107
6,USp4 x USp4 x USp4,2.USp6,2.SU2 x USp8,3,3,16.125,60953.690
6,USp4 x USp4 x USp4,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,3,3,14.044,66450.767
6,USp4 x USp4 x USp4,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,3,3,12.882,92257.143
6,SU2 x USp4 x USp6,2.USp6,2.SU2 x USp8,3,3,24.196,60953.690
6,SU2 x USp4 x USp6,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,3,3,21.074,66450.767
6,SU2 x USp4 x USp6,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,3,3,19.331,71203.280
6,2.USp6,SU2 x SU2 x USp4 x USp4,2.SU2 x USp8,3,3,60953.690,11.317
6,2.USp6,SU2 x SU2 x USp4 x USp4,SU2 x 2.SU2 x USp6,3,3,86099.375,109.648
6,2.USp6,SU2 x SU2 x SU2 x USp6,2.SU2 x USp8,3,3,60953.690,12.127
6,2.USp6,USp4 x 2.USp4,2.SU2 x USp4 x USp4,3,3,32.734,51730.896
6,2.USp6,USp4 x 2.USp4,SU2 x 2.SU2 x USp6,3,3,14.538,54481.618
6,2.USp6,USp4 x 2.USp4,3.SU2 x USp6,3,3,57.379,145797.474
6,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp8,3,3,60953.690,81.752
6,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,2.SU2 x USp4 x USp4,3,3,24.618,44.668
6,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,SU2 x 2.SU2 x USp6,3,3,11.715,49.119
6,2.USp6,SU2 x SU2 x SU2 x SU2 x USp4,3.SU2 x USp6,3,3,50.845,46.639
6,2.USp6,2.SU2 x USp8,2.SU2 x USp4 x USp4,3,3,35.075,60953.690
6,2.USp6,2.SU2 x USp8,SU2 x 2.SU2 x USp6,3,3,14.664,60953.690
6,2.USp6,2.SU2 x USp8,3.SU2 x USp6,3,3,83.176,60953.690
6,2.USp6,SU2 x SU2 x 2.USp4,3.SU2 x USp6,3,3,72.444,65879.455
6,2.USp6,SU2 x SU2 x SU2 x SU2 x SU2 x SU2,3.SU2 x USp6,3,3,65.879,78976.885
6,2.USp6,2.SU2 x USp4 x USp4,SU2 x 2.SU2 x USp6,3,3,86099.375,21.074
6,2.USp6,2.SU2 x USp4 x USp4,3.SU2 x USp6,3,3,47.452,238.506
