genus,family,a,b,c,d,e
3,products,3,1,0,0.465316,
3,+ uniform 2-mixtures,6,20,0,,
4,products,5,10,0,0.319553,
4,+ uniform 2-mixtures,15,455,0,,
5,products,7,35,0,0.319553,
5,+ uniform 2-mixtures,28,3276,0,,
6,products,11,165,0,0.233224,
6,+ uniform 2-mixtures,66,45760,0,,
7,products,15,455,0,0.16964,
7,+ uniform 2-mixtures,120,280840,0,,
8,products,22,1540,0,0.078999,
8,+ uniform 2-mixtures,253,2667126,38,,
8,CYCLE,[8+41111]/2,[8+2222]/2,[5111+3221]/2,0.02633535157,0.026338568
8,CYCLE,[8+2222]/2,[5111+3221]/2,[71+41111]/2,0.007602393188,0.007604692793
8,CYCLE,[8+2222]/2,[5111+3221]/2,[62+41111]/2,0.004068210712,0.004079570348
9,products,30,4060,0,0.078999,
9,+ uniform 2-mixtures,355,7393585,236,,
9,CYCLE,531,[9+6111]/2,[9+522]/2,0.001383590541,0.001394140401
9,CYCLE,[9+6111]/2,[9+522]/2,[711+441]/2,0.001383590541,0.001394140401
9,CYCLE,[9+6111]/2,[9+522]/2,[621+531]/2,0.001383590541,0.001394140401
10,products,42,11480,0,0.0504658,
10,+ uniform 2-mixtures,367,8171255,201,,
10,CYCLE,631,[73+541]/2,[10+622]/2,0.005784294672,0.005782614861
10,CYCLE,631,[82+541]/2,[10+622]/2,0.004009759106,0.004010245472
10,CYCLE,7111,541,[721+622]/2,0.003470683063,0.003471720022
11,products,56,27720,0,0.00219256,
11,+ uniform 2-mixtures,381,9145270,790,,
11,CYCLE,8111,[911+641]/2,[83+722]/2,0.02651663614,0.02653084972
11,CYCLE,8111,[911+641]/2,[92+722]/2,0.02626728815,0.02627345527
11,CYCLE,8111,[911+641]/2,[101+722]/2,0.02609204217,0.02608905058
12,products,77,73150,0,0.00219256,
12,+ uniform 2-mixtures,402,10746800,414,,
12,CYCLE,822,[12+651]/2,[1011+741]/2,0.01095043766,0.01094749297
12,CYCLE,822,[12+651]/2,[921+741]/2,0.01095043766,0.01094749297
12,CYCLE,822,[12+651]/2,[831+741]/2,0.01095043766,0.01094749297
