mu,nu,genus,dm2,dt,mid,sup,inf,tau_sup,tau_inf,sign_changes
USp4,SU2 x SU2,2.0,-1.0,2.0,-0.3195527304,0.0000000000,-0.6391054609,0,2.80221,0
USp4,2.SU2,2.0,-3.0,3.5,-0.6671115648,0.0000000000,-1.3342231296,0,2.20039,0
SU2 x SU2,2.SU2,2.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
USp6,SU2 x USp4,3.0,-1.0,4.0,-0.4653155709,0.0000000000,-0.9306311417,0,3.95822,0
USp6,SU2 x SU2 x SU2,3.0,-2.0,6.0,-0.7765060655,0.0000000000,-1.5530121310,0,3.50752,0
USp6,SU2 x 2.SU2,3.0,-4.0,7.5,-1.0998241624,0.0000000000,-2.1996483248,0,2.95121,0
USp6,3.SU2,3.0,-8.0,9.0,-1.5170069534,0.0000000000,-3.0340139068,0,2.39883,0
SU2 x USp4,SU2 x SU2 x SU2,3.0,-1.0,2.0,-0.3195527304,0.0000000000,-0.6391054609,0,2.80221,0
SU2 x USp4,SU2 x 2.SU2,3.0,-3.0,3.5,-0.6671115648,0.0000000000,-1.3342231296,0,2.20039,0
SU2 x USp4,3.SU2,3.0,-7.0,5.0,-1.1256927554,0.0000000000,-2.2513855109,0,1.75792,0
SU2 x SU2 x SU2,SU2 x 2.SU2,3.0,-2.0,1.5,-0.3617068090,0.0000000000,-0.7234136180,0,1.69824,0
SU2 x SU2 x SU2,3.SU2,3.0,-6.0,3.0,-0.8431954235,0.0000000000,-1.6863908470,0,1.40443,0
SU2 x 2.SU2,3.SU2,3.0,-4.0,1.5,-0.4892667468,0.0000000000,-0.9785334936,0,1.20226,0
USp8,USp4 x USp4,4.0,-1.0,8.0,-0.7219961242,0.0000000000,-1.4439922483,0,5.21795,0
USp8,SU2 x USp6,4.0,-1.0,6.0,-0.5530113274,0.0000000000,-1.1060226548,0,5.04081,0
USp8,SU2 x SU2 x USp4,4.0,-2.0,10.0,-1.0122984707,0.0000000000,-2.0245969414,0,4.54465,0
USp8,2.USp4,4.0,-3.0,13.0,-1.4337011705,0.0000000000,-2.8674023411,0,4.09732,0
USp8,SU2 x SU2 x SU2 x SU2,4.0,-3.0,12.0,-1.3122928003,0.0000000000,-2.6245856005,0,4.16869,0
USp8,2.SU2 x USp4,4.0,-4.0,11.5,-1.3035206434,0.0000000000,-2.6070412868,0,3.89045,0
USp8,SU2 x SU2 x 2.SU2,4.0,-5.0,13.5,-1.6131361036,0.0000000000,-3.2262722073,0,3.69403,0
USp8,2.SU2 x 2.SU2,4.0,-7.0,15.0,-1.9273037606,0.0000000000,-3.8546075211,0,3.27341,0
