item,mu,nu,mid,sup,inf,tau_sup,tau_inf
genus 8 mixture 3-cycle (alpha_max = 16),[0.5*8 + 0.5*41111],[0.5*8 + 0.5*2222],-0.02633875643733460272830901456544823309216,0.35895222559847049987,-0.41162973847313970532,1.40619575959,9.49011707243
genus 8 mixture 3-cycle (alpha_max = 16),[0.5*8 + 0.5*2222],[0.5*5111 + 0.5*3221],-0.04526323648456318677501288512742763277942,0.33910341215892742398,-0.42962988512805379753,5.65538014727,0.898321851317
genus 8 mixture 3-cycle (alpha_max = 16),[0.5*5111 + 0.5*3221],[0.5*8 + 0.5*41111],-0.03863526524068381663173215347728271905236,0.2003260477146392342,-0.27759657819600686747,0.623774091137,2.51051406583
genus 11 3-cycle with a pure vertex (alpha_max = 22),8111,[0.5*911 + 0.5*641],-0.04333722262285594018562300144654124686181,0.70580405490822525288,-0.79247850015393713325,2.48903364633,17.4376925606
genus 11 3-cycle with a pure vertex (alpha_max = 22),[0.5*911 + 0.5*641],[0.5*83 + 0.5*722],-0.02653052506327591314521165086184388937125,0.18812188877073284688,-0.24118293889728467317,21.0475811046,3.86837754551
genus 11 3-cycle with a pure vertex (alpha_max = 22),[0.5*83 + 0.5*722],8111,-0.06097502452839068951845429072131127480637,0.60967809808946689767,-0.7316281471462482767,16.1675006033,1.66644413154
genus 11 tightest pure-product triple (transitive),62111,4331,0.002200764306537201923801042177100819912466,0.56267420812964425183,-0.55827267951656984799,1.93118927151,14.1041030443
genus 11 tightest pure-product triple (transitive),4331,5222,-0.02171349445031984740121109646549179491041,0.12086071159162064485,-0.16428770049226033966,16.3337633675,2.81496373972
genus 11 tightest pure-product triple (transitive),5222,62111,-0.007997924250349964279071313930015891621576,0.43931318224228978966,-0.45530903074298971822,13.4273314835,1.58540818683
genus 7 first crossing,511,43,0.2618589419637525451766927437570167868348,0.58958244911875033218,-0.065864565191245241825,2.15200715567,30.1934256684
concavity,g=1,tau=0.1,0.004979244174508520501023032561461655444516,,,,
concavity,g=1,tau=1,0.3491620314502367171856839336293172536365,,,,
concavity,g=1,tau=5,0.9435525338125099920587673827882264728707,,,,
concavity,g=1,tau=30,0.998347579950249068516838503602148141992,,,,
concavity,g=2,tau=0.1,0.000004156953381158966884271820708359392286671,,,,
concavity,g=2,tau=1,0.03288389734662047884609262294652778166714,,,,
concavity,g=2,tau=5,0.814597803461503610257115015986789250881,,,,
concavity,g=2,tau=30,0.9944931905704662996535011338209534780489,,,,
concavity,g=3,tau=0.1,0.000000001386658261088120932882882512629346333176,,,,
concavity,g=3,tau=1,0.001180306696243948850390380547425789174727,,,,
concavity,g=3,tau=5,0.6209846657111965041870489510315265464546,,,,
concavity,g=3,tau=30,0.9884385013539702214613270616446288433073,,,,
concavity,g=4,tau=0.1,2.477129052909331717171555370485353255698e-13,,,,
concavity,g=4,tau=1,0.00002192802545044875655875560930975252644804,,,,
concavity,g=4,tau=5,0.387588860729666777888134638189148186251,,,,
concavity,g=4,tau=30,0.9801853926562339229185942894033233680119,,,,
concavity,g=5,tau=0.1,2.75301914809351004710221935674814983436e-17,,,,
concavity,g=5,tau=1,0.0000002496059341400699998314726927476376307616,,,,
concavity,g=5,tau=5,0.1763477913500317398730467708394356709014,,,,
concavity,g=5,tau=30,0.9697359919225441602499094755495558214966,,,,
concavity,g=6,tau=0.1,2.085955736804742125630311295620432166382e-21,,,,
concavity,g=6,tau=1,0.000000001921965684292005536713148133107900063328,,,,
concavity,g=6,tau=5,0.05304500393851941698954873167635385498509,,,,
concavity,g=6,tau=30,0.9570927178932723569327577467644309418479,,,,
concavity,g=8,tau=0.1,4.776510546072513020883359103342079744733e-30,,,,
concavity,g=8,tau=1,4.491188523802705624362049596070875525836e-14,,,,
concavity,g=8,tau=5,0.001414808349815008147948574247381429879273,,,,
concavity,g=8,tau=30,0.9252360205503194600864271563772031741906,,,,
concavity,g=11,tau=0.1,8.892762918741286091421811773580318903652e-44,,,,
concavity,g=11,tau=1,8.502441712669355604996940831364707817538e-22,,,,
concavity,g=11,tau=5,0.0000006622359320507475550380491929841253425818,,,,
concavity,g=11,tau=30,0.861081391426233691489980822098989869113,,,,
