cycle,from,to,mid_grid_A,mid_grid_B,mid_polished,sup,inf,argsup_tau,arginf_tau
widest symplectic,4.SU2,USp6 x USp6,-0.0744703979,-0.0744884512,-0.0744697293,3.8510605413,-4.0000000000,1.62755,inf
widest symplectic,USp6 x USp6,SU2 x 2.USp4,-0.1605431697,-0.1605188917,-0.1605470604,2.0000000000,-2.3210941207,inf,2.83847
widest symplectic,SU2 x 2.USp4,4.SU2,-0.1043756580,-0.1043803265,-0.1043807504,2.0000000000,-2.2087615009,inf,0.890419
multiplicity two only,2.SU2 x 2.SU2,USp12,-0.0750270637,-0.0750617683,-0.0750253286,3.8499493429,-4.0000000000,3.2453,inf
multiplicity two only,USp12,SU2 x SU2 x USp6,-0.1500333094,-0.1500252141,-0.1500338203,2.0000000000,-2.3000676405,inf,5.26755
multiplicity two only,SU2 x SU2 x USp6,2.SU2 x 2.SU2,-0.0120605712,-0.0120524666,-0.0120605742,2.0000000000,-2.0241211484,inf,1.89687
two vertices multiplicity-free,4.SU2,USp4 x USp8,-0.0691053639,-0.0691074377,-0.0691029709,3.8617940582,-4.0000000000,1.65993,inf
two vertices multiplicity-free,USp4 x USp8,SU2 x SU2 x SU2 x SU2 x SU2,-0.0793568778,-0.0793592122,-0.0793626171,2.0000000000,-2.1587252343,inf,3.06514
two vertices multiplicity-free,SU2 x SU2 x SU2 x SU2 x SU2,4.SU2,-0.1426097112,-0.1426080765,-0.1426131696,2.0000000000,-2.2852263393,inf,0.966507
"torus (not realisable, for contrast)",3.U1,SU2 x SU2 x 2.SU2,-0.0927164999,-0.0927155152,-0.0927148598,1.8145702805,-2.0000000000,0.66974,inf
"torus (not realisable, for contrast)",SU2 x SU2 x 2.SU2,U1 x CM x CM x CM,-0.0795632621,-0.0795648558,-0.0795634038,0.2242458969,-0.3833727044,0.761635,6.18886
"torus (not realisable, for contrast)",U1 x CM x CM x CM,3.U1,-0.0181175949,-0.0180970799,-0.0181176218,2.0000000000,-2.0362352435,inf,0.687234
