kind,c0,c1,c2,c3,c4,c5,c6,c7
su2_5,"a=2, b=t, c=t+1",401,397,5.301130,84.1070,2158.71,[],0
su2_5,"a=2, b=t, c=t+1",1009,1005,4.988958,67.3006,1359.36,[],0
su2_5,"a=2, b=t, c=t+1",4001,3997,4.957461,71.4733,1623.50,[],0
su2_5,"a=2, b=t, c=t+1",16001,15997,5.031162,70.3570,1520.40,[],0
su2_5,"a=t, b=t^2+1, c=t+3",401,393,5.497731,81.0178,1690.93,[],0
su2_5,"a=t, b=t^2+1, c=t+3",1009,999,4.977691,72.0447,1642.75,[],0
su2_5,"a=t, b=t^2+1, c=t+3",4001,3993,4.929795,67.3603,1441.28,[],0
su2_5,"a=t, b=t^2+1, c=t+3",16001,15993,4.936851,68.3777,1474.08,[],0
su2_5,"a=t, b=t+1, c=t+2  [TRAP]",401,397,6.845682,131.7740,3954.34,"[(2, 4)]",0
su2_5,"a=t, b=t+1, c=t+2  [TRAP]",1009,1005,6.834020,120.4451,3207.72,"[(2, 4)]",0
su2_5,"a=t, b=t+1, c=t+2  [TRAP]",4001,3997,7.101093,129.8355,3444.31,"[(2, 4)]",0
su2_5,"a=t, b=t+1, c=t+2  [TRAP]",16001,15997,7.039760,129.8535,3547.43,"[(2, 4)]",0
su2_2su2_usp4,401,392,6.493766,107.5644,2813.89,0,,
su2_2su2_usp4,1009,1000,6.090624,91.5507,1914.40,0,,
su2_2su2_usp4,4001,3992,5.848051,87.0412,1962.94,0,,
su2_2su2_usp4,16001,15992,6.129782,95.4201,2199.67,0,,
usp14_usp6sq,401,1.062344,3.4865,2.084519,13.0308,0,,
usp14_usp6sq,1009,1.262636,6.7386,1.951437,10.6113,0,,
usp14_usp6sq,4001,1.006248,2.9555,2.003183,12.0912,0,,
usp14_usp6sq,16001,1.007062,3.0325,1.987938,12.1734,0,,
