kind,a,b,c,d,e,f,g
summary,1,29,7308,0,,,
cap,2,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
summary,2,52,44200,1,1.204117e-02,,
cap,3,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
cap,3,SU2 x 3.SU2,USp12,SU2 x USp4 x USp4,1.049878e-02,,
cap,3,SU2 x 3.SU2,USp12,SU2 x SU2 x USp6,1.049878e-02,,
summary,3,63,79422,3,1.204117e-02,,
cap,4,4.SU2,USp6 x USp6,SU2 x 2.USp4,7.450673e-02,,
cap,4,4.SU2,USp4 x USp8,SU2 x 2.USp4,6.911975e-02,,
cap,4,4.SU2,USp4 x USp8,SU2 x SU2 x SU2 x SU2 x SU2,6.911975e-02,,
cap,4,4.SU2,USp6 x USp6,SU2 x SU2 x SU2 x SU2 x SU2,4.009378e-02,,
cap,4,4.SU2,USp6 x USp6,SU2 x 2.SU2 x USp4,2.841300e-02,,
cap,4,4.SU2,USp4 x USp8,SU2 x 2.SU2 x USp4,2.841300e-02,,
cap,4,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
cap,4,SU2 x 3.SU2,USp12,SU2 x USp4 x USp4,1.049878e-02,,
cap,4,SU2 x 3.SU2,USp12,SU2 x SU2 x USp6,1.049878e-02,,
summary,4,68,100232,9,7.450673e-02,,
cap,6,4.SU2,USp6 x USp6,SU2 x 2.USp4,7.450673e-02,,
cap,6,4.SU2,USp4 x USp8,SU2 x 2.USp4,6.911975e-02,,
cap,6,4.SU2,USp4 x USp8,SU2 x SU2 x SU2 x SU2 x SU2,6.911975e-02,,
cap,6,4.SU2,USp6 x USp6,SU2 x SU2 x SU2 x SU2 x SU2,4.009378e-02,,
cap,6,4.SU2,USp6 x USp6,SU2 x 2.SU2 x USp4,2.841300e-02,,
cap,6,4.SU2,USp4 x USp8,SU2 x 2.SU2 x USp4,2.841300e-02,,
cap,6,2.SU2 x 2.SU2,USp12,SU2 x SU2 x USp6,1.204117e-02,,
cap,6,SU2 x 3.SU2,USp12,SU2 x USp4 x USp4,1.049878e-02,,
cap,6,SU2 x 3.SU2,USp12,SU2 x SU2 x USp6,1.049878e-02,,
summary,6,71,114310,9,7.450673e-02,,
crosscheck,SU2,0.7,0.235740426668,0.235740426668,0.000e+00,,
crosscheck,SU2,3.0,3.017851443984,3.017851443984,0.000e+00,,
crosscheck,SU2,40.0,73.196451572769,73.196451572769,0.000e+00,,
crosscheck,USp4,0.7,0.244846319587,0.244846319587,0.000e+00,,
crosscheck,USp4,3.0,4.122071212245,4.122071212245,0.000e+00,,
crosscheck,USp4,40.0,139.414219149537,139.414219149537,0.000e+00,,
crosscheck,USp6,0.7,0.244998638728,0.244998638728,0.000e+00,,
crosscheck,USp6,3.0,4.433702770340,4.433702770340,0.000e+00,,
crosscheck,USp6,40.0,199.857150082117,199.857150082117,0.000e+00,,
crosscheck,USp12,0.7,0.245000000000,0.245000000000,0.000e+00,,
crosscheck,USp12,3.0,4.499969002706,4.499969002706,0.000e+00,,
crosscheck,USp12,40.0,353.028009739864,353.028009739864,0.000e+00,,
cycle40,2.SU2 x 2.SU2,USp12,-0.07502532855469174755865859708565165487046,3.849949342890616504882683,-4.0,3.24530107607,+inf
cycle40,USp12,SU2 x SU2 x USp6,-0.1500338202737787826586997664872715993093,2.0,-2.3000676405475575653174,+inf,5.2675460763
cycle40,SU2 x SU2 x USp6,2.SU2 x 2.SU2,-0.01206057421855458525935346125780578377559,2.0,-2.024121148437109170518707,+inf,1.89687046085
cycle40-margin,0.0120605742185545852593534612578,True,,,,,
